name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Nanoacid Warheads,apex_warheads_acid,,,Apex Design Collective,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ApexVariableAcid,"Sets the integrated missile autoforge to produce %s warheads for the ship's Taipan VLS.

Remove this hullmod to switch to %s warheads. Changing this hullmod in space has %s.",Nanoacid warheads.,,graphics/hullmods/apex_warheads_acid.png
Kinetic Warheads,apex_warheads_kin,,,Apex Design Collective,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ApexVariableKin,"Sets the integrated missile autoforge to produce %s warheads for the ship's Taipan VLS.

Remove this hullmod to switch to %s warheads. Changing this hullmod in space has %s.",Kinetic warheads.,,graphics/hullmods/apex_warheads_kin.png
Tachyon Warheads,apex_warheads_tachyon,,,Apex Design Collective,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ApexVariableEmp,"Sets the integrated missile autoforge to produce %s warheads for the ship's Taipan VLS.

Remove this hullmod to switch to %s warheads. Changing this hullmod in space has %s.",EMP warheads.,,graphics/hullmods/apex_warheads_emp.png
,,,,,,,,,,,,,,,,,,,
Variable Warheads,apex_variable_lrm,,,Apex Design Collective,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ApexVariableLRM,Ammo swap control hullmod for Thunderstorm SLRM. You shouldn't see this in-game.,Variable missile ammo selection.,,graphics/hullmods/apex_variable_warheads.png
Disruptor Payload,apex_lrm_frag,,,Apex Design Collective,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ApexVariableLrmFrag,"Sets the integrated missile autoforge to produce a %s payload for the ship's Thunderstorm SLRM launcher.

Remove this hullmod to switch to a %s payload. Changing this hullmod in space has %s.",Frag mines.,,graphics/hullmods/apex_lrm_frag.png
Graviton Payload,apex_lrm_emp,,,Apex Design Collective,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ApexVariableLrmEmp,"Sets the integrated missile autoforge to produce a %s payload for the ship's Thunderstorm SLRM launcher.

Remove this hullmod to switch to a %s payload. Changing this hullmod in space has %s.","EMP (now kinetic, too much work to change the IDs) mines",,graphics/hullmods/apex_lrm_emp.png
Harmonic Payload,apex_lrm_he,,,Apex Design Collective,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ApexVariableLrmHe,"Sets the integrated missile autoforge to produce a %s payload for the ship's Thunderstorm SLRM launcher.

Remove this hullmod to switch to a %s payload. Changing this hullmod in space has %s.",HE mines,,graphics/hullmods/apex_lrm_he.png
,,,,,,,,,,,,,,,,,,,
# Conversion hullmods,,,,,,,,,,,,,,,,,,,
Refit: Hauler,apex_spectrum_cargo,,,Apex Design Collective,req_spaceport,Logistics,,TRUE,,,0,30,30,0,data.hullmods.ApexSpectrumCargo,"Replaces the hangar modules with cargo pods, increasing cargo capacity by %s. Without the need to support fighters, deployment and maintenance costs are decreased by %s, and crew requirements are decreased by %s.",Cargo refit.,,graphics/hullmods/apex_spectrum_cargo.png
Refit: Tanker,apex_spectrum_fuel,,,Apex Design Collective,req_spaceport,Logistics,,TRUE,,,0,30,30,0,data.hullmods.ApexSpectrumFuel,"Replaces the hangar modules with fuel tanks, increasing fuel capacity by %s. Without the need to support fighters, deployment and maintenance costs are decreased by %s, and crew requirements are decreased by %s.",Tanker refit.,,graphics/hullmods/apex_spectrum_fuel.png
Civilian Refit,apex_civwhenrefit,,,Apex Design Collective,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ApexDummyCivHull,Hidden hullmod that makes refit carriers be treated as civilian ships.,,,graphics/hullmods/apex_spectrum_fuel.png
,,,,,,,,,,,,,,,,,,,
# Excession,,,,,,,,,,,,,,,,,,,
Gravitic Phase Cluster,apex_excession_coils,,,Apex Design Collective,,,,,TRUE,,0,0,0,0,data.hullmods.ApexExcessionCoils,"Designed to run off of the breach core's gravitic flux output, these exotic phase coils produce rapid transitions into p-space.",,,graphics/hullmods/apex_excession_coils.png
Cryonic Nanolattice,apex_excession_armor,,,Apex Design Collective,,,,,TRUE,,0,0,0,0,data.hullmods.ApexExcessionArmor,An ultra-hard nanoscale lattice cooled to near absolute zero. Converts nearly all incoming damage to heat and then dissipates it through ablation.,,,graphics/hullmods/apex_excession_armor.png
Breach Core,apex_excession_reactor,,,Apex Design Collective,,,,,TRUE,,0,0,0,0,data.hullmods.ApexExcessionReactor,"A dozen capital-grade shield emitters wrapped around a barely-contained hyperspace breach, this exotic reactor provides fantastic amounts of power and enables manipulation of entropy.",,,graphics/hullmods/apex_excession_reactor.png
,,,,,,,,,,,,,,,,,,,
# Bounty,,,,,,,,,,,,,,,,,,,
Bricker,apex_quasar_bricker,,,Apex Design Collective,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ApexQuasarBricker,Causes the Quasar to suffer extreme malfunctions in player hands.,,,graphics/hullmods/apex_excession_reactor.png
,,,,,,,,,,,,,,,,,,,
# Insurgency,,,,,,,,,,,,,,,,,,,
Ablative Spaced Armor,apex_ins_armor,,0,Unknown,,,,TRUE,,,0,0,0,0,data.hullmods.ApexInsArmor,"Increases armor rating, weapon health, and engine health by %s. Decreases armor effectiveness by %s. 

Incoming damage that exceeds %s per hit or %s beam damage per second (after damage type bonuses) has the amount above %s reduced by %s. Has no effect if armor is fully stripped.",,"Increases the armor bonus to %s, and increases the effectiveness penalty to %s.",graphics/hullmods/apex_ins_armor.png
Integrated Autoforge,apex_ins_missiles,,0,Unknown,,,,,TRUE,,0,0,0,0,data.hullmods.ApexInsMissiles,Missile weapons reload ammo equal to %s of their capacity per minute. Missiles that already reload ammo will have their reload speed increased by this amount. Missiles that do not naturally reload will always reload one full burst at a time.,,,graphics/hullmods/apex_ins_missiles.png
