id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
apex_repairblob,projectile,175,0.4,0.5,"[153,255,51]",,,,,,,,,,,,
apex_tachyon_shot,projectile,140,0.4,0.3,"[150,100,255]",,200,0.6,0.75,"[150,100,255]",150,0.4,0.2,"[150,100,255]",,1,TRUE
apex_tachyon_shredder_shot,projectile,140,0.4,0.3,"[140,3,252]",,200,0.6,0.75,"[140,3,252]",150,0.4,0.2,"[140,3,252]",,1,TRUE
apex_tachyonwedge,projectile,100,0.1,0.25,"[150,100,255]",,115,0.2,0.5,"[150,100,255]",75,0.1,0.35,"[150,100,255]",,1,TRUE
apex_thorn_shot,projectile,100,0.1,0.25,"[0,105,255]",,115,0.2,0.5,"[0,105,255]",,,,,,1,TRUE
apex_toroid_shot,projectile,140,0.4,0.3,"[100,100,255]",,200,0.6,0.75,"[100,100,255]",150,0.4,0.2,"[100,100,255]",,1,TRUE
apex_ultrachrome_shot,projectile,200,0.75,0.5,"[255,255,255]",,250,0.8,1,"[255,255,255]",250,0.4,0.6,"[255,255,255]",,1,TRUE
apex_ins_small_laser_shot,projectile,125,0.4,0.2,"[0,180,255]",,125,0.4,0.75,"[0,180,255]",150,0.25,0.15,"[0,180,255]",,1,TRUE
apex_ins_laser_shot_noff,projectile,125,0.4,0.2,"[0,180,255]",,125,0.4,0.75,"[0,180,255]",150,0.25,0.15,"[0,180,255]",,1,TRUE
apex_ins_laser_shot,projectile,125,0.4,0.2,"[0,180,255]",,125,0.4,0.75,"[0,180,255]",150,0.25,0.15,"[0,180,255]",,1,TRUE
apex_ins_plasmarifle_shot,projectile,200,0.75,0.5,"[255,100,150]",,250,0.8,1,"[255,100,150]",250,0.4,0.6,"[255,100,150]",,1,TRUE
,,,,,,,,,,,,,,,,,
# MISSILES,,,,,,,,,,,,,,,,,
apex_arcspike,projectile,100,0.15,0.5,"[0,200,255]",4,200,0.3,1,"[0,200,255]",,,,,,1,FALSE
apex_excession_missile,projectile,100,0.15,0.5,"[0,157,255]",0,200,0.3,1,"[0,157,255]",,,,,,1,FALSE
apex_ins_missile_shot,projectile,100,0.15,0.5,"[240,163,32]",6,200,0.3,1,"[240,163,32]",,,,,,1,FALSE
apex_ins_torp_shot,projectile,100,0.33,0.5,"[255,155,155]",10,200,0.5,1,"[255,100,100]",,,,,,1,FALSE
apex_nanoacid_torp,projectile,150,0.5,0.5,"[225,100,70]",10,600,0.7,1.25,"[255,125,80]",,,,,,1,FALSE
apex_nanoacid_torp_guided,projectile,150,0.5,0.5,"[255,200,25]",10,600,0.7,1.25,"[255,200,25]",,,,,,1,FALSE
apex_sledgehammer_missile,projectile,100,0.4,0.3,"[100,255,100]",13,200,0.7,1.5,"[150,255,150]",,,,,,1,FALSE
apex_thundercloud_missile_emp,projectile,100,0.4,0.3,"[128,128,255]",13,,,,,,,,,,,
apex_thundercloud_missile_he,projectile,100,0.4,0.3,"[128,128,255]",13,,,,,,,,,,,
apex_thundercloud_missile_frag,projectile,100,0.4,0.3,"[128,128,255]",13,,,,,,,,,,,
apex_vls_acid_missile,projectile,100,0.15,0.5,"[225,231,70]",8,,,,,,,,,,,
apex_vls_kin_missile,projectile,100,0.15,0.5,"[150,150,225]",8,,,,,,,,,,,
apex_vls_tachyon_missile,projectile,100,0.15,0.5,"[255,165,50]",8,,,,,,,,,,,
apex_ultrabomb_shot,projectile,200,0.75,0.5,"[255,255,255]",,250,0.8,1,"[255,255,255]",,,,,,1,TRUE
